id,name,year,runtime,rating,genre,image,description,director,stars
2624,Seabiscuit,2003,140,7.3,"Drama, History, Sport",https://m.media-amazon.com/images/M/MV5BZTlkODI1YWQtOWExOS00NDY4LWJiNzUtZGNkYWNlN2RhN2Q3XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg,"True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.","Gary Ross","['Tobey Maguire', 'Jeff Bridges', 'Elizabeth Banks', 'Chris Cooper']"
2625,"The Guard",2011,96,7.3,"Comedy, Crime, Thriller",https://m.media-amazon.com/images/M/MV5BMTY2ODkzMDgwM15BMl5BanBnXkFtZTcwMDA1Mjg1OA@@._V1_.jpg,"An unorthodox Irish policeman with a confrontational personality is partnered with an uptight F.B.I. agent to investigate an international drug-smuggling ring.","John Michael McDonagh","['Brendan Gleeson', 'Don Cheadle', 'Mark Strong', 'Ronan Collins']"
2626,"The Hundred-Foot Journey",2014,122,7.3,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMTQ3Mjg2MTE4M15BMl5BanBnXkFtZTgwMzcyNDMwMjE@._V1_.jpg,"The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.","Lasse Hallström","['Helen Mirren', 'Om Puri', 'Manish Dayal', 'Charlotte Le Bon']"
2627,"The Boat That Rocked",2009,135,7.3,"Comedy, Drama, Music",https://m.media-amazon.com/images/M/MV5BMTMzMjYzMTMyM15BMl5BanBnXkFtZTcwOTk5NDA5Mg@@._V1_.jpg,"A band of rogue DJs that captivated Britain, playing the music that defined a generation and standing up to a government that wanted classical music, and nothing else, on the airwaves.","Richard Curtis","['Philip Seymour Hoffman', 'Bill Nighy', 'Nick Frost', 'Michael Hadley']"
2628,"Matchstick Men",2003,116,7.3,"Comedy, Crime, Drama",https://m.media-amazon.com/images/M/MV5BMjA3NjMyNjIyMF5BMl5BanBnXkFtZTYwOTgzMDI3._V1_.jpg,"A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.","Ridley Scott","['Nicolas Cage', 'Alison Lohman', 'Sam Rockwell', 'Bruce Altman']"
2629,"The Wanderers",1979,112,7.3,"Crime, Drama, Romance",https://m.media-amazon.com/images/M/MV5BNDFjMTQyNjctOTRlNS00MDc5LWJjZmQtOTAxOTg5ODVmOWY3XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg,"The Wanderers is a teenage, Italian gang in Bronx, NYC, 1963. They have their confrontations with other gangs. Drugs and weapons are uncool. Adult life awaits them.","Philip Kaufman","['Ken Wahl', 'Karen Allen', 'John Friedrich', 'Toni Kalem']"
2630,"Murder by Death",1976,95,7.3,"Comedy, Crime, Mystery",https://m.media-amazon.com/images/M/MV5BZWJiZjUxNTQtNTI3My00ZjQyLWFjZTEtODJjYzU0ZGYwYzNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,"Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery.","Robert Moore","['Peter Falk', 'Alec Guinness', 'Peter Sellers', 'Eileen Brennan']"
2631,"Running Scared",2006,122,7.3,"Action, Crime, Drama",https://m.media-amazon.com/images/M/MV5BMTIwOTAzMDc4MF5BMl5BanBnXkFtZTcwNjY5MzIzMQ@@._V1_.jpg,"A low-ranking thug is entrusted by his crime boss to dispose of a gun that killed corrupt cops, but things get out of control when the gun ends up in wrong hands.","Wayne Kramer","['Paul Walker', 'Cameron Bright', 'Chazz Palminteri', 'Vera Farmiga']"
2632,Reds,1981,195,7.3,"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BYWU5NjA2OWItMjc3MS00NDk4LWJhYzEtMzczMGU4MDk5OTUwXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_.jpg,"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.","Warren Beatty","['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jerzy Kosinski']"
2633,"An Education",2009,100,7.3,Drama,https://m.media-amazon.com/images/M/MV5BMTg4NjgzOTc0MF5BMl5BanBnXkFtZTcwOTc2OTE3Mg@@._V1_.jpg,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.","Lone Scherfig","['Carey Mulligan', 'Peter Sarsgaard', 'Alfred Molina', 'Olivia Williams']"
2634,Belle,2013,100,7.3,"Biography, Drama, Romance",https://m.media-amazon.com/images/M/MV5BNzg5MjE5NjE4OV5BMl5BanBnXkFtZTgwNTU0ODM0MDE@._V1_.jpg,"The biracial daughter, Dido Elizabeth Belle (Gugu Mbatha-Raw), of Royal Navy Captain Sir John Lindsay (Matthew Goode) is raised by aristocratic Great-uncle Lord William Murray, 1st Earl of Mansfield (Tom Wilkinson) in 18th century England.","Amma Asante","['Gugu Mbatha-Raw', 'Matthew Goode', 'Emily Watson', 'Miranda Richardson']"
2635,"The Man in the Moon",1991,99,7.3,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BYWNlZDVkYTQtNzA2NC00OTRmLWEzYjEtZTFhY2RhMWRmZTI0XkEyXkFqcGdeQXVyMTEyODk3NTgz._V1_.jpg,"A coming of age story set in the south of the U.S. when Elvis was King.","Robert Mulligan","['Sam Waterston', 'Tess Harper', 'Gail Strickland', 'Reese Witherspoon']"
2636,"Our Friend",2019,124,7.3,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BZjQxOTY2MzYtZjhhNy00Y2ExLWJiMWYtYTNkMzA2ZTk5MDU4XkEyXkFqcGdeQXVyNTU5Mzk0NjE@._V1_.jpg,"After receiving life-altering news, a couple finds unexpected support from their best friend, who puts his own life on hold and moves into their family home, bringing an impact much greater and more profound than anyone could have imagined","Gabriela Cowperthwaite","['Jason Segel', 'Isabella Kai', 'Violet McGraw', 'Casey Affleck']"
2637,"37°2 le matin",1986,119,7.3,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BZDEwYmM1MzktMzYyMy00M2VhLWJkZTUtNmIyMTcxZmRiZjQ1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,"A lackadaisical handyman and aspiring novelist tries to support his younger girlfriend as she slowly succumbs to madness.","Jean-Jacques Beineix","['Jean-Hugues Anglade', 'Béatrice Dalle', 'Gérard Darmon', 'Consuelo De Haviland']"
2638,Detroit,2017,143,7.3,"Crime, Drama, History",https://m.media-amazon.com/images/M/MV5BMTg4MDk4MTUxMF5BMl5BanBnXkFtZTgwNDE5NjA5MjI@._V1_.jpg,"Fact-based drama set during the 1967 Detroit riots in which a group of rogue police officers respond to a complaint with retribution rather than justice on their minds.","Kathryn Bigelow","['John Boyega', 'Anthony Mackie', 'Algee Smith', 'Jacob Latimore']"
2639,Pusher,1996,110,7.3,"Crime, Thriller",https://m.media-amazon.com/images/M/MV5BOGJkNDE2NWUtMDM4ZC00MWE2LTk1MzktNDA5Y2YwZGNjMDQ5XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg,"A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.","Nicolas Winding Refn","['Kim Bodnia', 'Zlatko Buric', 'Laura Drasbæk', 'Slavko Labovic']"
2640,"Mr. Holland's Opus",1995,143,7.3,"Drama, Music",https://m.media-amazon.com/images/M/MV5BMjYzMWM5NDAtZDlkMS00NTNhLWIxNTktNzA3ZjkyMDQ3MWQzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,"A frustrated composer finds fulfillment as a high school music teacher.","Stephen Herek","['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis']"
2641,"Rescue Dawn",2006,120,7.3,"Adventure, Biography, War",https://m.media-amazon.com/images/M/MV5BNzUxNzUzNzU2MV5BMl5BanBnXkFtZTcwNTgzNzU2NA@@._V1_.jpg,"A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.","Werner Herzog","['Christian Bale', 'Steve Zahn', 'Jeremy Davies', 'Zach Grenier']"
2642,"Coming Home",1978,127,7.3,"Drama, Romance, War",https://m.media-amazon.com/images/M/MV5BNTZmMmE4YWQtNjhkYi00NGM0LWI4YTQtZjk2ZTJkNWE1MjVjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,"A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.","Hal Ashby","['Jane Fonda', 'Jon Voight', 'Bruce Dern', 'Penelope Milford']"
2643,"Red Dog",2011,92,7.3,"Biography, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMjAwNjMwNDQ0NF5BMl5BanBnXkFtZTcwMzE2NTExOA@@._V1_.jpg,"Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.","Kriv Stenders","['Josh Lucas', 'Rachael Taylor', 'Rohan Nichol', 'Luke Ford']"
2644,"Phantom of the Paradise",1974,91,7.3,"Comedy, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BZWI5NDk1MDgtYzYwZi00ZmZhLThiN2QtN2U5OGExNTBhOTZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise.","Brian De Palma","['Paul Williams', 'William Finley', 'Jessica Harper', 'Gerrit Graham']"
2645,"Sedmikrásky",1966,74,7.3,Comedy,https://m.media-amazon.com/images/M/MV5BMGVkNWNmYjktZmI4ZC00OWVhLWIwMDQtNTc3MTBhNzRmNjMzXkEyXkFqcGdeQXVyMTExMTE3NDg5._V1_.jpg,"After realizing that all world is spoiled, Marie and Marie are committed to be spoiled themselves. They rip off older men, feast in lavish meals and do all kinds of mischief. But what is all this leading to?","Vera Chytilová","['Ivana Karbanová', 'Jitka Cerhová', 'Marie Cesková', 'Jirina Myskova']"
2646,"Stand and Deliver",1988,103,7.3,"Biography, Drama",https://m.media-amazon.com/images/M/MV5BMTQ2MjA4MTcwOF5BMl5BanBnXkFtZTgwNTI4OTI1MDE@._V1_.jpg,"The story of Jaime Escalante, a high school teacher who successfully inspired his dropout-prone students to learn calculus.","Ramón Menéndez","['Edward James Olmos', 'Estelle Harris', 'Mark Phelan', 'Virginia Paris']"
2647,"The Queen",2006,103,7.3,"Biography, Drama",https://m.media-amazon.com/images/M/MV5BMTQ3NTMxODg1Ml5BMl5BanBnXkFtZTcwMjEyMjczMQ@@._V1_.jpg,"After the death of Princess Diana, Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.","Stephen Frears","['Helen Mirren', 'Michael Sheen', 'James Cromwell', 'Alex Jennings']"
2648,"La guerre du feu",1981,100,7.3,"Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMWExOWQxYzktZDA1MC00Yzg4LWEyNmItOWJhYmRkMTI5YTNhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"This story takes place in prehistoric time when three tribesmen search for a new fire source.","Jean-Jacques Annaud","['Everett McGill', 'Ron Perlman', 'Nicholas Kadi', 'Rae Dawn Chong']"
2649,"Bad Boy Bubby",1993,114,7.3,"Comedy, Crime, Drama",https://m.media-amazon.com/images/M/MV5BYWIzNzNkZjEtNGRiMi00MDZiLTk3NzAtZWNhZTRjZTI3ZGM5XkEyXkFqcGdeQXVyMTY1MTcxMzc@._V1_.jpg,"Bubby has spent thirty years trapped in the same small room, tricked by his mother. One day, he manages to escape, and, deranged and naive in equal measures, his adventure into the modern and nihilistic life begins.","Rolf de Heer","['Nicholas Hope', 'Claire Benito', 'Ralph Cotterill', 'Syd Brisbane']"
2650,Bambi,1942,69,7.3,"Animation, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BY2JhMTJmYjYtNTVkYi00OWE3LWJlMjEtOWI4MTFkMjJhMmQ3XkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_.jpg,"The story of a young deer growing up in the forest.","James Algar","['Samuel Armstrong', 'David Hand', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright', 'Arthur Davis', 'Clyde Geronimi', 'Hardie Albright', 'Stan Alexander', 'Bobette Audrey', 'Peter Behn']"
2651,"Finding Forrester",2000,136,7.3,Drama,https://m.media-amazon.com/images/M/MV5BMTk5MjQ4MjcyOF5BMl5BanBnXkFtZTYwNTMzODg2._V1_.jpg,"A young writing prodigy finds a mentor in a reclusive author.","Gus Van Sant","['Sean Connery', 'Rob Brown', 'F. Murray Abraham', 'Anna Paquin']"
2652,"Jesus Christ Superstar",1973,106,7.3,"Drama, History, Musical",https://m.media-amazon.com/images/M/MV5BOTdkZmUwN2EtMDFjYi00ODMzLWI1MWYtYzU0NzYxZTk5NDk2XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,"Film version of the musical stage play, presenting the last few weeks of Christ's life told in an anachronistic manner.","Norman Jewison","['Ted Neeley', 'Carl Anderson', 'Yvonne Elliman', 'Barry Dennen']"
2653,"Assault on Precinct 13",1976,91,7.3,"Action, Crime, Thriller",https://m.media-amazon.com/images/M/MV5BZTQzMTA2ZjItMDA2Mi00YTNjLWFkOTktYTk3Y2JhZTdiYzU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"A Highway Patrol Officer, two criminals and a station secretary defend a defunct Los Angeles precinct office against a siege by a bloodthirsty street gang.","John Carpenter","['Austin Stoker', 'Darwin Joston', 'Laurie Zimmer', 'Martin West']"
2654,"Shallow Grave",1994,89,7.3,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BZmVmOWVlODYtOTQ0Yy00ODY1LTgwZjMtYWFhOWQ3ODhmYjliL2ltYWdlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,"Three friends discover their new flatmate dead but loaded with cash.","Danny Boyle","['Kerry Fox', 'Christopher Eccleston', 'Ewan McGregor', 'Ken Stott']"
2655,Ragtime,1981,155,7.3,Drama,https://m.media-amazon.com/images/M/MV5BNDk0ZTQ3ODAtMjUwMi00YzQ2LTgyMDAtZWY4ZGIxNTRlYzIwXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_.jpg,"A young black pianist becomes embroiled in the lives of an upper-class white family set among the racial tensions, infidelity, violence and other nostalgic events in early 1900s New York City.","Milos Forman","['James Cagney', 'Elizabeth McGovern', 'Howard E. Rollins Jr.', 'Brad Dourif']"
2656,"Get Carter",1971,112,7.3,"Action, Crime, Thriller",https://m.media-amazon.com/images/M/MV5BY2JiOTJhODQtNjhlOS00MDUyLWI0YzktY2M0ODkyYWUwOTMyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.","Mike Hodges","['Michael Caine', 'Ian Hendry', 'Britt Ekland', 'John Osborne']"
2657,"Seul contre tous",1998,93,7.3,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BMmMyYzRjYjMtYzFkNy00Njc3LWIzOTQtNzIzNzE4YzM4NDNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"A horse butcher's life and mind begin to break down as he lashes out against various factions of society while attempting to reconnect with his estranged daughter.","Gaspar Noé","['Philippe Nahon', 'Blandine Lenoir', 'Frankie Pain', 'Martine Audrain']"
2658,"Tender Mercies",1983,92,7.3,"Drama, Music",https://m.media-amazon.com/images/M/MV5BNzY5YTEzZTItOTY3OC00YWY0LWFhNDctZWY3YjZlZTM2OGQwXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg,"A broken-down, middle-aged country singer gets a new wife, reaches out to his long-lost daughter, and tries to put his troubled life back together.","Bruce Beresford","['Robert Duvall', 'Tess Harper', 'Betty Buckley', 'Wilford Brimley']"
2659,"I Can Only Imagine",2018,110,7.3,"Biography, Drama, Family",https://m.media-amazon.com/images/M/MV5BMTRjNDc5NTAtZGJlYS00NTg4LTk2NTEtNGUwY2NiZWM3YTY2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_.jpg,"The inspiring and unknown true story behind MercyMe's beloved, chart topping song that brings ultimate hope to so many is a gripping reminder of the power of true forgiveness.","Andrew Erwin","['Jon Erwin', 'J. Michael Finley', 'Madeline Carroll', 'Dennis Quaid', 'Trace Adkins']"
2660,"The Ultimate Gift",2006,118,7.3,"Drama, Family, Romance",https://m.media-amazon.com/images/M/MV5BMTgzMTQ5OTc0NF5BMl5BanBnXkFtZTcwMTczNDA5NQ@@._V1_.jpg,"A deceased billionaire leaves his spoiled adult grandson a series of odd tasks to perform in order to receive ""the ultimate gift,"" with the resentful grandson having no idea what that might be.","Michael O. Sajbel","['Drew Fuller', 'James Garner', 'Abigail Breslin', 'Bill Cobbs']"
2661,"Moby Dick",1956,116,7.3,"Adventure, Drama",https://m.media-amazon.com/images/M/MV5BYzIxOWRlYjQtODQ0MS00NjZhLWJiZTUtZmRjZWI3OGNmMTA1XkEyXkFqcGdeQXVyNTEwNDcxNDc@._V1_.jpg,"The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick.","John Huston","['Gregory Peck', 'Richard Basehart', 'Leo Genn', 'James Robertson Justice']"
2662,Anomalisa,2015,90,7.3,"Animation, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMTkyMzI2MzQ1N15BMl5BanBnXkFtZTgwNDg0MzQxNzE@._V1_.jpg,"A man crippled by the mundanity of his life experiences something out of the ordinary.","Duke Johnson","['Charlie Kaufman', 'David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']"
2663,"Skyggen i mit øje",2021,107,7.3,"Drama, History, War",https://m.media-amazon.com/images/M/MV5BNzYzZTgxMTQtYTlhYy00OGJkLThkMGEtNjlhZTRkNDIwZTkyXkEyXkFqcGdeQXVyMTM0NTc2NDgw._V1_.jpg,"The fates of several Copenhagen residents collide when a WWII bombing mission accidentally targets a school full of children.","Ole Bornedal","['Bertram Bisgaard Enevoldsen', 'Ester Birch', 'Ella Josephine Lund Nilsson', 'Malena Lucia Lodahl']"
2664,"Caché",2005,117,7.3,"Drama, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BYTAxZTU0Y2MtOWY2Mi00YWVmLWJkMTctMjg2YjVjOGI1OGZmXkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_.jpg,"A married couple is terrorized by a series of surveillance videotapes left on their front porch.","Michael Haneke","['Daniel Auteuil', 'Juliette Binoche', 'Maurice Bénichou', 'Annie Girardot']"
2665,Marshall,2017,118,7.3,"Biography, Crime, Drama",https://m.media-amazon.com/images/M/MV5BNzg3YTc4N2ItZmZkZS00OWE1LWIyNGMtNzYzZWQzMzVkZWI2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_.jpg,"The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases.","Reginald Hudlin","['Chadwick Boseman', 'Josh Gad', 'Kate Hudson', 'Sterling K. Brown']"
2666,"Gadar: Ek Prem Katha",2001,170,7.3,"Action, Drama, Romance",https://m.media-amazon.com/images/M/MV5BYTgxMzAwZTMtMTY5Yi00NWVmLTk1OGItNjAwYTAzOGU2OWNiXkEyXkFqcGdeQXVyMTYzMTU3Njgx._V1_.jpg,"During the Partition of India in 1947, a Sikh truck driver falls in love with a Muslim girl belonging to an aristocratic family.","Anil Sharma","['Sunny Deol', 'Ameesha Patel', 'Amrish Puri', 'Lillete Dubey']"
2667,"Uncle Frank",2020,95,7.3,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BYWRkMzE5MDAtMTNjNS00ZmRhLWEyZTYtMTQyMGQ4NmFjNTU0XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,"In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina, for the family patriarch's funeral, they're unexpectedly joined by Frank's lover, Walid.","Alan Ball","['Paul Bettany', 'Sophia Lillis', 'Peter Macdissi', 'Steve Zahn']"
2668,"Far from Heaven",2002,107,7.3,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BMTE5ODI3MTM4OV5BMl5BanBnXkFtZTYwNjE5OTg2._V1_.jpg,"In 1950s Connecticut, a flustered housewife faces a marital crisis and mounting racial tensions in the outside world.","Todd Haynes","['Julianne Moore', 'Dennis Quaid', 'Dennis Haysbert', 'Patricia Clarkson']"
2669,"Eight Below",2006,120,7.3,"Adventure, Drama, Family",https://m.media-amazon.com/images/M/MV5BMjExMjAwNzE0N15BMl5BanBnXkFtZTYwMDY4NDk2._V1_.jpg,"Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.","Frank Marshall","['Paul Walker', 'Jason Biggs', 'Bruce Greenwood', 'Moon Bloodgood']"
2670,"Il mio nome è Nessuno",1973,116,7.3,"Comedy, Drama, Western",https://m.media-amazon.com/images/M/MV5BZDBjOTZjYmMtZjhmNS00NzM2LTgyZjUtYzkzYjc4NzBhNmNiXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg,"A young, easy-going gunman worships and competes with a famed gunfighter, insisting that he must face down a gang of 150 outlaws before he can retire.","Tonino Valerii","['Terence Hill', 'Henry Fonda', 'Jean Martin', 'R.G. Armstrong']"
2671,"Fish Tank",2009,123,7.3,Drama,https://m.media-amazon.com/images/M/MV5BMjM0ODQyNzE5Ml5BMl5BanBnXkFtZTgwNDgwODY1MTE@._V1_.jpg,"Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.","Andrea Arnold","['Katie Jarvis', 'Michael Fassbender', 'Kierston Wareing', 'Rebecca Griffiths']"
2672,"Den 12. mann",2017,135,7.3,"Drama, History, Thriller",https://m.media-amazon.com/images/M/MV5BN2VlMmJiMGUtZTM5NS00YTc2LTk4N2MtMWRiM2JjNGEyNGI1XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,"They were 12 saboteurs. The Nazis killed 11 of them. This is the true story of the one that got away.","Harald Zwart","['Thomas Gullestad', 'Jonathan Rhys Meyers', 'Marie Blokhus', 'Mads Sjøgård Pettersen']"
2673,"The Killing of a Chinese Bookie",1976,135,7.3,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BNTQ0YTcyZGYtOWY5Ny00ZTNkLThjNzItMDk2MGMxNDZjNWQ4XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg,"A proud strip club owner is forced to come to terms with himself as a man when his gambling addiction gets him in hot water with the mob, who offer him only one alternative.","John Cassavetes","['Ben Gazzara', 'Timothy Carey', 'Seymour Cassel', 'Robert Phillips']"
2674,"Nobody's Fool",1994,110,7.3,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMjg0YzYzYzktNTY3NC00MDE0LThjMzYtMmY0MWZlNDdiYWY2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,"A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.","Robert Benton","['Paul Newman', 'Bruce Willis', 'Jessica Tandy', 'Melanie Griffith']"
2675,Lucky,"I 2017",88,7.3,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMDc2MWYzMzMtZTU3NC00M2M4LWI4NGQtOTgyNzc5Nzk5NTQ5XkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_.jpg,"Lucky follows the spiritual journey of a 90-year-old atheist and the quirky characters that inhabit his off the map desert town.","John Carroll Lynch","['Harry Dean Stanton', 'David Lynch', 'Ron Livingston', 'Ed Begley Jr.']"
2676,"Beau Travail",1999,92,7.3,"Drama, War",https://m.media-amazon.com/images/M/MV5BYjRkMGQwMWMtYzkxZC00MjZhLTkwNWYtZGI4NGY4OWI4ZmMyXkEyXkFqcGdeQXVyODU1OTc0MzI@._V1_.jpg,"An ex-Foreign Legion officer recalls his once-glorious life of leading troops in Djibouti.","Claire Denis","['Denis Lavant', 'Michel Subor', 'Grégoire Colin', 'Richard Courcet']"
2677,Targets,1968,90,7.3,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BMmQyNTMxZWYtZjM0MS00YWY2LTk2MWQtYmVmNTEzODdlNWIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,"An aging horror star questions his place in modern Hollywood, while a disturbed young man goes on a killing spree.","Peter Bogdanovich","[""Tim O'Kelly"", 'Boris Karloff', 'Nancy Hsueh', 'James Brown']"
2678,"Starred Up",2013,106,7.3,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BMTczOTY4MTg2OF5BMl5BanBnXkFtZTgwNTM2NzcxMjE@._V1_.jpg,"Eric Love, 19, is locked up in prison. On his first day, he assaults another inmate and several guards. He's offered group therapy and his dad, an inmate as well, tries to talk sense into him. Can he be rehabilitated?","David Mackenzie","[""Jack O'Connell"", 'Ben Mendelsohn', 'Rupert Friend', 'Sam Spruell']"
2679,"Funny Girl",1968,151,7.3,"Biography, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BNTAxZTA2OTAtYzY1OC00NGZlLWJlZDItOWZhMjU4YTc3YWRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,"The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein.","William Wyler","['Barbra Streisand', 'Omar Sharif', 'Kay Medford', 'Anne Francis']"
2680,"The Professionals",1966,117,7.3,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMTY0OWNiZTQtZGY4MS00YmJlLTg4YzEtMmE3YTVkMDM3ODRlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,"An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.","Richard Brooks","['Burt Lancaster', 'Lee Marvin', 'Robert Ryan', 'Woody Strode']"
2681,"Antwone Fisher",2002,120,7.3,"Biography, Drama",https://m.media-amazon.com/images/M/MV5BZDYyMGU5NzctZjkyYy00YmU2LThhNjEtNzYxMjRiMDkwNGVkXkEyXkFqcGdeQXVyNjkwOTQ4MDE@._V1_.jpg,"Antwone Fisher, a young navy man, is forced to see a psychiatrist after a violent outburst against a fellow crewman. During the course of treatment a painful past is revealed and a new hope begins.","Denzel Washington","['Denzel Washington', 'Derek Luke', 'Joy Bryant', 'Malcolm David Kelley']"
2682,"North Country",2005,126,7.3,Drama,https://m.media-amazon.com/images/M/MV5BNTM3OTEwODYzNl5BMl5BanBnXkFtZTcwNjM1NzUzMw@@._V1_.jpg,"A fictionalized account of the first major successful sexual harassment case in the United States, Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.","Niki Caro","['Charlize Theron', 'Jeremy Renner', 'Frances McDormand', 'Thomas Curtis']"
2683,"The Proposition",2005,104,7.3,"Crime, Drama, Western",https://m.media-amazon.com/images/M/MV5BNzEzNGQ0ZjEtNzI0MC00ZWE5LTk3YWYtOGExY2ZjZjY5YTgyXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg,"A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother.","John Hillcoat","['Ray Winstone', 'Guy Pearce', 'Emily Watson', 'Richard Wilson']"
2684,"24 Hour Party People",2002,117,7.3,"Biography, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BYTcyYzMyZGUtOGExYi00ZTljLWE3NDEtMGQyYTZiNmIzMzRiXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_.jpg,"In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.","Michael Winterbottom","['Steve Coogan', 'Lennie James', 'John Thomson', 'Nigel Pivaro']"
